rule_level,hour_of_day,day_of_week,failed_logins,src_ip_is_internal,src_ip_reputation,agent_os,event_count_1h,is_fim_event,has_mitre_tag,label
13,1,0,0,0,52,1,5110,0,0,1
9,19,3,0,0,50,2,5110,0,1,1
13,18,0,0,1,53,2,2520,0,1,1
12,22,6,0,0,99,1,5090,0,0,1
10,21,4,0,0,98,0,1490,0,1,1
12,2,6,0,1,72,0,1370,0,1,1
5,18,3,0,0,96,2,5110,0,1,1
3,10,4,0,1,13,2,10,0,0,0
4,18,4,0,0,12,2,10,0,0,0
2,9,2,0,1,11,2,30,0,0,0
3,19,6,0,0,95,1,5100,0,0,1
5,16,4,0,1,3,0,50,0,0,0
10,19,2,0,0,87,0,5110,0,1,1
13,21,2,0,0,58,2,5110,0,1,1
11,2,1,0,0,81,2,5090,0,0,1
5,0,5,0,0,96,1,5110,0,0,1
11,19,6,0,0,62,1,5110,0,1,1
10,23,4,0,0,91,0,5110,0,0,1
5,20,4,0,0,87,0,5110,0,1,1
5,9,1,0,1,12,1,40,0,1,0
3,23,0,0,0,95,0,5110,0,1,1
1,16,4,0,1,7,1,90,0,0,0
4,11,1,0,1,13,0,10,0,0,0
9,22,0,0,0,50,0,5080,0,1,1
12,23,5,0,0,99,0,5110,0,0,1
10,21,6,0,0,55,1,5110,0,0,1
11,2,5,0,0,77,0,5110,0,1,1
5,22,3,0,0,61,0,5110,0,1,1
13,0,1,0,0,86,2,5110,0,0,1
11,21,0,0,0,80,1,2680,0,1,1
12,18,0,0,0,73,2,5100,0,1,1
9,1,0,0,0,92,0,5110,0,1,1
10,22,1,0,0,56,1,5110,0,0,1
7,0,4,0,0,85,0,5110,0,0,1
1,10,2,0,1,19,2,40,0,0,0
6,23,2,0,1,72,0,5110,0,1,1
7,23,2,0,0,54,1,1080,0,0,1
2,13,2,0,1,19,1,280,0,0,0
10,0,5,0,0,82,0,2230,0,1,1
10,4,2,0,0,95,1,5110,0,1,1
6,1,6,0,0,88,2,5110,0,1,1
13,0,6,0,0,70,1,5110,0,1,1
10,0,6,0,0,98,1,5110,0,1,1
10,0,4,0,0,86,0,5110,0,1,1
10,0,0,0,0,83,0,1140,0,1,1
10,23,0,0,0,60,0,4770,0,0,1
11,3,5,0,0,64,1,1440,0,0,1
5,13,3,0,0,11,1,110,0,0,0
9,23,2,0,0,69,2,5100,0,1,1
2,15,1,0,1,6,1,130,0,0,0
13,3,5,0,0,76,0,5110,0,1,1
9,5,4,0,0,57,0,5110,0,1,1
11,21,1,0,0,81,0,5110,0,0,1
2,10,2,0,1,3,0,100,0,0,0
4,0,1,0,1,93,0,1070,0,1,1
12,1,6,0,0,97,2,5110,0,1,1
13,0,3,0,1,50,2,10,0,1,1
10,20,1,0,1,67,2,2330,0,1,1
5,15,1,0,1,9,0,10,0,0,0
9,0,1,0,0,58,2,990,0,1,1
10,2,3,0,0,70,2,5110,0,1,1
13,23,1,0,1,68,0,2220,0,1,1
9,1,6,0,1,75,2,1300,0,1,1
3,17,1,0,1,4,1,10,0,0,0
13,2,0,0,0,55,1,5110,0,1,1
10,1,4,0,0,90,1,5110,0,0,1
10,3,2,0,0,58,2,1210,0,1,1
3,11,0,0,1,2,0,10,0,0,0
10,3,6,0,1,50,1,2310,0,1,1
10,22,6,0,0,72,2,2100,0,1,1
5,21,3,0,0,68,1,1410,0,0,1
10,4,3,0,0,68,1,5110,0,1,1
13,23,2,0,0,68,1,5110,0,1,1
13,4,0,0,0,81,2,5110,0,1,1
1,11,2,0,0,0,0,10,0,0,0
10,19,2,0,0,80,0,5110,0,1,1
13,21,2,0,0,51,0,1120,0,1,1
10,22,4,0,0,76,2,5110,0,0,1
13,4,0,0,0,53,1,5110,0,1,1
10,5,4,0,0,98,0,1160,0,0,1
2,9,4,0,1,8,1,160,0,0,0
7,20,6,0,0,79,1,1350,0,1,1
6,23,5,0,0,74,2,590,0,1,1
9,20,3,0,0,66,1,5110,0,1,1
1,13,3,0,0,8,0,30,0,0,0
11,22,3,0,0,83,2,1200,0,1,1
3,16,3,0,0,7,0,10,0,0,0
9,19,6,0,0,99,0,5110,0,1,1
10,0,0,0,0,84,2,5110,0,1,1
9,4,3,0,0,59,0,1310,0,0,1
4,18,1,0,1,13,2,10,0,0,0
2,12,1,0,1,2,2,100,0,0,0
2,8,4,0,1,16,1,40,0,0,0
3,9,2,0,1,2,1,410,0,0,0
10,18,5,0,0,91,1,5110,0,0,1
11,3,1,0,0,87,2,2020,0,1,1
9,22,4,0,0,81,1,5100,0,1,1
9,5,0,0,0,67,0,5110,0,1,1
7,22,1,0,0,54,1,5110,0,0,1
4,4,2,0,0,59,2,5100,0,1,1
13,22,1,0,0,66,0,5110,0,1,1
13,4,1,0,0,97,0,5110,0,1,1
12,0,4,0,0,57,0,2480,0,0,1
11,2,4,0,0,79,0,5110,0,1,1
12,22,5,0,0,95,0,5110,0,0,1
12,3,6,0,0,66,1,5110,0,1,1
10,20,2,0,1,64,1,2820,0,1,1
1,8,4,0,1,13,2,60,0,0,0
10,23,6,0,0,90,0,5110,0,1,1
11,4,0,0,0,59,0,1260,0,1,1
4,14,0,0,0,16,2,40,0,0,0
5,18,3,0,0,95,1,5100,0,1,1
11,4,6,0,1,97,0,2070,0,1,1
5,17,0,0,1,6,0,10,0,1,0
13,5,1,0,0,58,1,5110,0,1,1
13,20,0,0,0,87,2,1220,0,1,1
13,21,2,0,0,65,1,5110,0,1,1
5,1,1,0,0,67,1,5110,0,1,1
1,18,0,0,1,1,1,90,0,0,0
3,16,0,0,0,2,0,20,0,0,0
13,2,1,0,0,97,1,5100,0,1,1
12,2,3,0,0,53,2,1040,0,1,1
3,12,2,0,1,17,0,80,0,0,0
2,10,2,0,1,17,2,10,0,0,0
11,23,0,0,0,67,0,2540,0,0,1
4,5,5,0,0,81,2,5110,0,1,1
7,22,0,0,0,98,0,5110,0,1,1
11,1,1,0,0,54,2,5110,0,1,1
10,22,4,0,0,70,0,4780,0,1,1
13,0,4,0,0,62,2,5110,0,0,1
3,13,0,0,1,4,1,10,0,0,0
13,21,2,0,0,91,2,2250,0,0,1
10,3,4,0,0,84,0,5110,0,1,1
9,1,6,0,0,63,0,5100,0,1,1
9,1,0,0,1,89,2,1340,0,0,1
10,19,3,0,0,87,1,5110,0,0,1
9,3,3,0,0,66,1,5100,0,1,1
10,18,1,0,0,82,1,2520,0,1,1
2,7,3,0,1,19,0,50,0,0,0
9,3,4,0,0,50,2,5090,0,1,1
2,9,0,0,1,5,2,10,0,0,0
10,23,6,0,0,64,1,5110,0,1,1
6,12,3,0,1,5,0,40,0,0,0
13,3,5,0,0,81,2,5110,0,1,1
13,18,0,0,0,91,1,5110,0,1,1
12,2,1,0,0,82,2,5110,0,1,1
9,15,0,0,1,1,0,100,0,0,0
10,1,6,0,0,91,2,5110,0,1,1
12,1,6,0,0,68,0,5110,0,1,1
5,18,0,0,0,8,1,40,0,0,0
10,1,0,0,0,75,2,5110,0,1,1
5,8,3,0,1,7,2,40,0,0,0
11,19,4,0,0,53,2,5110,0,1,1
13,23,0,0,0,83,0,2950,0,1,1
4,13,0,0,0,10,1,10,0,0,0
9,22,6,0,0,65,0,4840,0,1,1
10,8,2,0,1,12,1,10,0,0,0
9,18,6,0,0,62,0,5110,0,1,1
10,18,5,0,0,64,2,5110,0,1,1
6,0,5,0,0,79,0,5100,0,1,1
2,15,1,0,0,5,2,10,0,0,0
10,5,4,0,0,64,1,5110,0,1,1
12,4,0,0,0,88,2,5110,0,0,1
10,23,6,0,0,83,0,5110,0,1,1
9,20,1,0,0,50,1,5110,0,1,1
11,0,3,0,0,58,1,4540,0,1,1
12,19,6,0,0,94,2,5110,0,0,1
13,21,3,0,0,98,1,5110,0,1,1
12,19,4,0,0,86,1,1110,0,1,1
10,23,4,0,0,50,2,5110,0,1,1
11,5,3,0,1,55,2,1090,0,0,1
13,22,2,0,0,51,2,5110,0,1,1
9,20,1,0,0,60,0,2620,0,1,1
11,1,1,0,0,69,2,4360,0,0,1
13,22,2,0,1,63,0,2050,0,0,1
10,2,3,0,0,95,1,5110,0,1,1
12,4,3,0,0,96,2,5110,0,1,1
10,19,6,0,0,82,1,5110,0,1,1
11,22,5,0,0,92,0,5110,0,1,1
12,19,4,0,0,65,1,5110,0,0,1
9,0,4,0,1,72,2,10,0,1,1
12,1,6,0,0,61,2,5110,0,1,1
9,19,5,0,0,91,0,5110,0,1,1
10,19,4,0,0,69,2,5110,0,1,1
12,1,5,0,0,72,2,4450,0,1,1
11,5,2,0,0,90,0,5100,0,1,1
12,0,3,0,0,70,2,5110,0,0,1
9,0,6,0,0,52,0,5110,0,1,1
10,2,5,0,0,74,2,5110,0,0,1
1,9,4,0,0,7,0,200,0,0,0
13,20,3,0,0,81,0,5110,0,1,1
10,19,3,0,0,87,0,5110,0,1,1
11,20,6,0,0,65,0,4560,0,1,1
10,20,4,0,0,78,2,5110,0,1,1
13,22,4,0,0,71,1,1980,0,1,1
13,1,0,0,0,87,0,5090,0,1,1
13,18,4,0,0,79,2,2780,0,0,1
12,3,2,0,0,57,0,5090,0,1,1
11,4,5,0,0,93,2,5110,0,0,1
9,21,4,0,0,71,0,5110,0,1,1
10,0,1,0,1,91,0,600,0,1,1
9,0,5,0,0,98,0,5110,0,1,1
11,3,4,0,0,52,2,1140,0,1,1
4,5,6,0,0,60,1,5110,0,0,1
11,5,3,0,0,83,0,5090,0,1,1
7,3,4,0,0,58,0,5110,0,0,1
12,18,1,0,0,91,0,5110,0,1,1
10,18,1,0,0,93,1,10,0,1,1
9,22,4,0,0,54,1,5100,0,1,1
3,11,1,0,1,11,0,10,0,0,0
10,0,1,0,0,71,0,1010,0,1,1
3,10,3,0,1,19,1,10,0,0,0
12,5,0,0,0,91,0,5110,0,1,1
11,2,1,0,0,56,0,280,0,1,1
4,15,1,0,0,13,2,20,0,0,0
5,8,4,0,1,16,2,170,0,0,0
7,2,0,0,0,85,1,5110,0,0,1
8,12,1,0,1,1,1,30,0,0,0
13,18,2,0,0,62,0,5110,0,0,1
2,14,0,0,1,9,1,10,0,0,0
9,21,2,0,0,90,0,4820,0,1,1
10,3,5,0,0,92,2,5110,0,1,1
12,2,5,0,0,93,1,2980,0,0,1
6,2,3,0,0,55,0,5110,0,1,1
13,0,5,0,0,94,2,5110,0,0,1
13,20,2,0,0,83,2,5110,0,1,1
3,21,1,0,0,64,0,4780,0,1,1
13,0,1,0,0,85,0,5110,0,1,1
5,5,5,0,0,60,1,2340,0,1,1
12,3,4,0,0,77,1,5110,0,1,1
9,5,1,0,0,68,2,5110,0,1,1
7,4,5,0,0,54,1,5110,0,1,1
11,3,6,0,1,86,0,2190,0,1,1
9,19,2,0,0,67,0,5110,0,1,1
4,11,0,0,1,19,1,30,0,0,0
12,23,1,0,1,53,0,1080,0,0,1
10,1,3,0,0,86,2,5110,0,1,1
12,21,0,0,0,85,2,5110,0,0,1
12,1,0,0,0,95,0,5110,0,1,1
13,3,5,0,0,73,1,5110,0,0,1
6,23,4,0,0,62,0,5110,0,1,1
13,21,3,0,0,57,1,5110,0,0,1
2,18,3,0,0,13,2,80,0,0,0
13,5,6,0,0,86,2,5110,0,1,1
9,23,6,0,0,70,0,1440,0,0,1
9,20,4,0,0,97,1,5110,0,0,1
10,1,1,0,0,61,1,2200,0,1,1
11,19,0,0,0,70,0,5090,0,1,1
11,0,5,0,0,84,0,5110,0,0,1
9,3,4,0,0,57,2,4590,0,1,1
12,19,6,0,0,62,1,5110,0,1,1
4,7,2,0,1,6,0,80,0,1,0
9,4,3,0,0,99,1,5110,0,0,1
12,2,2,0,0,74,1,5110,0,1,1
11,5,3,0,0,84,2,5100,0,0,1
11,5,6,0,0,51,2,2400,0,1,1
2,16,1,0,1,13,1,180,0,0,0
1,18,1,0,1,2,2,100,0,0,0
12,3,6,0,0,98,0,5110,0,1,1
12,5,5,0,0,98,0,1350,0,1,1
9,1,4,0,0,50,2,1170,0,0,1
12,0,4,0,0,93,0,4480,0,1,1
12,19,1,0,0,78,2,5110,0,1,1
8,19,4,0,0,90,0,5110,0,1,1
2,8,2,0,1,2,2,30,0,0,0
9,5,1,0,0,54,0,5110,0,0,1
3,18,3,0,1,12,2,10,0,0,0
12,21,6,0,0,52,1,5110,0,1,1
2,10,0,0,1,17,0,40,0,0,0
13,1,3,0,0,64,2,1390,0,1,1
11,22,3,0,0,97,2,5110,0,0,1
12,21,5,0,0,65,0,5110,0,1,1
13,22,1,0,0,74,1,5110,0,1,1
1,15,4,0,1,9,0,40,0,0,0
11,20,1,0,0,70,2,5110,0,1,1
10,3,2,0,0,67,0,5110,0,1,1
12,3,5,0,0,96,2,5100,0,1,1
11,4,0,0,0,61,2,1490,0,1,1
2,10,4,0,1,9,1,10,0,0,0
12,21,3,0,0,80,1,2230,0,1,1
6,2,0,0,1,62,2,1440,0,0,1
12,23,4,0,0,98,0,2650,0,1,1
13,20,0,0,0,75,2,1060,0,0,1
12,4,5,0,0,57,1,5110,0,0,1
9,2,0,0,0,63,1,5090,0,1,1
13,20,1,0,0,83,1,5110,0,1,1
10,1,3,0,0,51,2,5110,0,1,1
11,5,3,0,0,71,0,1460,0,0,1
12,22,3,0,0,75,2,5110,0,1,1
7,23,5,0,0,79,2,5110,0,1,1
13,18,1,0,0,80,1,5110,0,1,1
11,23,3,0,1,82,2,1170,0,0,1
10,1,2,0,1,98,0,980,0,1,1
6,20,6,0,0,95,1,1410,0,1,1
13,4,6,0,0,95,2,5110,0,0,1
10,1,2,0,0,57,2,5110,0,1,1
11,20,6,0,1,88,0,2600,0,1,1
12,3,3,0,0,75,0,5110,0,1,1
11,20,4,0,1,58,1,2660,0,1,1
8,1,0,0,1,97,0,2900,0,1,1
3,3,2,0,0,95,1,4570,0,1,1
13,4,6,0,1,82,1,1090,0,1,1
13,20,3,0,0,65,1,5110,0,1,1
11,19,5,0,0,55,0,5110,0,0,1
10,0,2,0,0,74,1,5010,0,1,1
4,13,1,0,1,8,2,70,0,0,0
5,8,0,0,1,11,1,60,0,0,0
13,0,4,0,0,66,0,5110,0,1,1
13,18,0,0,0,91,2,5110,0,0,1
12,22,5,0,0,89,2,1420,0,1,1
10,19,2,0,0,81,2,2490,0,1,1
12,20,1,0,0,61,2,5110,0,1,1
7,23,4,0,1,90,0,1130,0,1,1
13,1,6,0,0,98,2,5110,0,1,1
11,1,2,0,0,58,2,5110,0,0,1
9,18,6,0,0,93,0,5110,0,1,1
13,3,6,0,0,63,1,5110,0,1,1
5,8,2,0,1,6,0,150,0,0,0
9,20,2,0,0,57,2,5100,0,1,1
12,5,1,0,0,55,2,2560,0,1,1
9,5,3,0,0,75,1,5110,0,1,1
4,16,1,0,1,19,0,20,0,0,0
11,4,5,0,0,94,0,4500,0,1,1
7,21,5,0,1,80,0,1200,0,1,1
12,0,4,0,0,85,1,5110,0,0,1
6,20,5,0,0,83,2,5110,0,1,1
3,16,3,0,1,11,1,90,0,0,0
11,5,6,0,0,98,2,5110,0,1,1
12,1,4,0,0,88,1,5110,0,1,1
11,3,4,0,0,65,1,2820,0,1,1
12,5,2,0,0,60,1,5110,0,1,1
11,23,3,0,0,71,2,5110,0,0,1
11,22,0,0,0,52,2,5110,0,1,1
3,12,3,0,1,13,1,20,0,0,0
7,0,2,0,0,62,0,5110,0,0,1
10,19,6,0,0,53,2,5110,0,1,1
6,20,3,0,1,75,2,1190,0,1,1
4,9,0,0,1,16,1,20,0,0,0
4,18,4,0,1,16,2,20,0,0,0
5,14,2,0,1,1,0,140,0,0,0
13,23,2,0,0,72,1,1490,0,0,1
5,9,3,0,0,9,2,10,0,0,0
9,0,4,0,1,75,2,2480,0,1,1
6,19,2,0,1,52,2,1210,0,0,1
12,20,0,0,0,59,2,1070,0,1,1
3,10,3,0,1,6,0,140,0,0,0
11,18,2,0,0,72,2,5110,0,0,1
9,20,5,0,0,79,0,5110,0,1,1
7,18,4,0,1,8,2,10,0,0,0
10,21,5,0,0,70,0,5110,0,1,1
11,20,1,0,0,52,1,5110,0,1,1
1,16,2,0,0,16,2,80,0,0,0
13,0,0,0,0,58,0,5110,0,1,1
12,22,6,0,0,51,0,5110,0,0,1
11,19,1,0,0,60,2,5010,0,0,1
4,17,4,0,1,2,1,170,0,0,0
3,18,3,0,1,6,0,20,0,0,0
9,23,6,0,0,96,1,5110,0,0,1
5,9,1,0,1,11,2,10,0,0,0
4,15,0,0,1,14,2,30,0,0,0
4,15,2,0,1,14,1,10,0,0,0
12,3,1,0,0,85,1,5100,0,1,1
4,18,1,0,1,19,0,10,0,0,0
6,20,4,0,0,66,1,5110,0,1,1
5,7,1,0,1,3,1,90,0,0,0
4,12,1,0,1,10,2,70,0,1,0
4,4,2,0,0,65,2,5110,0,0,1
9,0,3,0,1,77,1,850,0,1,1
13,18,6,0,1,92,1,1270,0,0,1
4,18,2,0,1,8,1,190,0,0,0
12,5,6,0,0,95,2,5110,0,1,1
2,10,3,0,1,5,1,20,0,0,0
9,2,3,0,1,64,1,1250,0,1,1
11,18,0,0,0,74,0,5110,0,0,1
4,10,4,0,1,5,2,270,0,0,0
9,21,5,0,1,83,0,1150,0,0,1
3,17,3,0,1,13,0,10,0,0,0
2,12,4,0,1,9,2,130,0,0,0
6,2,6,0,0,90,2,4360,0,1,1
13,19,2,0,0,81,2,5090,0,1,1
11,4,2,0,0,50,0,5110,0,0,1
12,22,5,0,0,89,2,5110,0,0,1
9,19,3,0,0,59,2,5110,0,1,1
9,20,6,0,0,62,2,5110,0,1,1
10,1,0,0,0,56,2,4490,0,1,1
9,0,2,0,0,53,0,5110,0,1,1
11,4,3,0,0,72,1,5100,0,1,1
11,18,6,0,0,59,2,5110,0,1,1
13,5,2,0,0,77,0,5110,0,0,1
7,3,6,0,0,52,0,5110,0,1,1
6,23,2,0,0,99,1,5110,0,0,1
13,3,2,0,0,57,1,5110,0,1,1
10,7,0,0,1,15,1,70,0,0,0
3,16,3,0,0,9,2,30,0,0,0
